Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Percentage Change over 12 months for Residential Property Price Index,2012 May,South-West - houses,%,-14.5
Percentage Change over 12 months for Residential Property Price Index,2012 June,National - houses,%,-15.5
Percentage Change over 12 months for Residential Property Price Index,2012 June,Dublin - houses,%,-14.2
Percentage Change over 12 months for Residential Property Price Index,2012 June,Dublin City - houses,%,-18.6
Percentage Change over 12 months for Residential Property Price Index,2012 June,Dun Laoghaire-Rathdown - houses,%,-14.4
Percentage Change over 12 months for Residential Property Price Index,2012 June,Fingal - houses,%,-16.7
Percentage Change over 12 months for Residential Property Price Index,2012 June,South Dublin - houses,%,-16
Percentage Change over 12 months for Residential Property Price Index,2012 June,National excluding Dublin - houses,%,-16.7
Percentage Change over 12 months for Residential Property Price Index,2012 June,Border - houses,%,-21
Percentage Change over 12 months for Residential Property Price Index,2012 June,Midland - houses,%,-16.6
Percentage Change over 12 months for Residential Property Price Index,2012 June,West - houses,%,-16
Percentage Change over 12 months for Residential Property Price Index,2012 June,Mid-East - houses,%,-20.9
Percentage Change over 12 months for Residential Property Price Index,2012 June,Mid-West - houses,%,-17.2
Percentage Change over 12 months for Residential Property Price Index,2012 June,South-East - houses,%,-16.1
Percentage Change over 12 months for Residential Property Price Index,2012 June,South-West - houses,%,-13.1
Percentage Change over 12 months for Residential Property Price Index,2012 July,National - houses,%,-12.9
Percentage Change over 12 months for Residential Property Price Index,2012 July,Dublin - houses,%,-11
Percentage Change over 12 months for Residential Property Price Index,2012 July,Dublin City - houses,%,-15.4
Percentage Change over 12 months for Residential Property Price Index,2012 July,Dun Laoghaire-Rathdown - houses,%,-10.7
Percentage Change over 12 months for Residential Property Price Index,2012 July,Fingal - houses,%,-14.2
Percentage Change over 12 months for Residential Property Price Index,2012 July,South Dublin - houses,%,-14.6
Percentage Change over 12 months for Residential Property Price Index,2012 July,National excluding Dublin - houses,%,-14.6
Percentage Change over 12 months for Residential Property Price Index,2012 July,Border - houses,%,-20.5
Percentage Change over 12 months for Residential Property Price Index,2012 July,Midland - houses,%,-16.7
Percentage Change over 12 months for Residential Property Price Index,2012 July,West - houses,%,-15.1
Percentage Change over 12 months for Residential Property Price Index,2012 July,Mid-East - houses,%,-17.8
Percentage Change over 12 months for Residential Property Price Index,2012 July,Mid-West - houses,%,-14.8
Percentage Change over 12 months for Residential Property Price Index,2012 July,South-East - houses,%,-15.7
Percentage Change over 12 months for Residential Property Price Index,2012 July,South-West - houses,%,-12
Percentage Change over 12 months for Residential Property Price Index,2012 August,National - houses,%,-10.5
Percentage Change over 12 months for Residential Property Price Index,2012 August,Dublin - houses,%,-7.7
Percentage Change over 12 months for Residential Property Price Index,2012 August,Dublin City - houses,%,-12.7
Percentage Change over 12 months for Residential Property Price Index,2012 August,Dun Laoghaire-Rathdown - houses,%,-5.7
Percentage Change over 12 months for Residential Property Price Index,2012 August,Fingal - houses,%,-11.2
Percentage Change over 12 months for Residential Property Price Index,2012 August,South Dublin - houses,%,-13.4
Percentage Change over 12 months for Residential Property Price Index,2012 August,National excluding Dublin - houses,%,-13
Percentage Change over 12 months for Residential Property Price Index,2012 August,Border - houses,%,-18.1
Percentage Change over 12 months for Residential Property Price Index,2012 August,Midland - houses,%,-15.6
Percentage Change over 12 months for Residential Property Price Index,2012 August,West - houses,%,-15.3
Percentage Change over 12 months for Residential Property Price Index,2012 August,Mid-East - houses,%,-14.8
Percentage Change over 12 months for Residential Property Price Index,2012 August,Mid-West - houses,%,-12.3
Percentage Change over 12 months for Residential Property Price Index,2012 August,South-East - houses,%,-13.7
Percentage Change over 12 months for Residential Property Price Index,2012 August,South-West - houses,%,-12.6
Percentage Change over 12 months for Residential Property Price Index,2012 September,National - houses,%,-8.2
Percentage Change over 12 months for Residential Property Price Index,2012 September,Dublin - houses,%,-4.1
Percentage Change over 12 months for Residential Property Price Index,2012 September,Dublin City - houses,%,-8.6
Percentage Change over 12 months for Residential Property Price Index,2012 September,Dun Laoghaire-Rathdown - houses,%,-1.8
Percentage Change over 12 months for Residential Property Price Index,2012 September,Fingal - houses,%,-7.4
Percentage Change over 12 months for Residential Property Price Index,2012 September,South Dublin - houses,%,-11.5
Percentage Change over 12 months for Residential Property Price Index,2012 September,National excluding Dublin - houses,%,-11.6
Percentage Change over 12 months for Residential Property Price Index,2012 September,Border - houses,%,-17
Percentage Change over 12 months for Residential Property Price Index,2012 September,Midland - houses,%,-12.6
Percentage Change over 12 months for Residential Property Price Index,2012 September,West - houses,%,-16.4
Percentage Change over 12 months for Residential Property Price Index,2012 September,Mid-East - houses,%,-11.9
Percentage Change over 12 months for Residential Property Price Index,2012 September,Mid-West - houses,%,-11.3
Percentage Change over 12 months for Residential Property Price Index,2012 September,South-East - houses,%,-13.2
Percentage Change over 12 months for Residential Property Price Index,2012 September,South-West - houses,%,-10.9
Percentage Change over 12 months for Residential Property Price Index,2012 October,National - houses,%,-6.3
Percentage Change over 12 months for Residential Property Price Index,2012 October,Dublin - houses,%,-1.3
Percentage Change over 12 months for Residential Property Price Index,2012 October,Dublin City - houses,%,-5.7
Percentage Change over 12 months for Residential Property Price Index,2012 October,Dun Laoghaire-Rathdown - houses,%,4
Percentage Change over 12 months for Residential Property Price Index,2012 October,Fingal - houses,%,-5.8
Percentage Change over 12 months for Residential Property Price Index,2012 October,South Dublin - houses,%,-8.2
Percentage Change over 12 months for Residential Property Price Index,2012 October,National excluding Dublin - houses,%,-10.5
Percentage Change over 12 months for Residential Property Price Index,2012 October,Border - houses,%,-12.6
Percentage Change over 12 months for Residential Property Price Index,2012 October,Midland - houses,%,-12.8
Percentage Change over 12 months for Residential Property Price Index,2012 October,West - houses,%,-15.6
Percentage Change over 12 months for Residential Property Price Index,2012 October,Mid-East - houses,%,-8.1
Percentage Change over 12 months for Residential Property Price Index,2012 October,Mid-West - houses,%,-11.8
Percentage Change over 12 months for Residential Property Price Index,2012 October,South-East - houses,%,-12.3
Percentage Change over 12 months for Residential Property Price Index,2012 October,South-West - houses,%,-11.4
Percentage Change over 12 months for Residential Property Price Index,2012 November,National - houses,%,-5
Percentage Change over 12 months for Residential Property Price Index,2012 November,Dublin - houses,%,1.8
Percentage Change over 12 months for Residential Property Price Index,2012 November,Dublin City - houses,%,-1.8
Percentage Change over 12 months for Residential Property Price Index,2012 November,Dun Laoghaire-Rathdown - houses,%,8
Percentage Change over 12 months for Residential Property Price Index,2012 November,Fingal - houses,%,-2.4
Percentage Change over 12 months for Residential Property Price Index,2012 November,South Dublin - houses,%,-5.1
Percentage Change over 12 months for Residential Property Price Index,2012 November,National excluding Dublin - houses,%,-10.6
Percentage Change over 12 months for Residential Property Price Index,2012 November,Border - houses,%,-14
Percentage Change over 12 months for Residential Property Price Index,2012 November,Midland - houses,%,-12.5
Percentage Change over 12 months for Residential Property Price Index,2012 November,West - houses,%,-16.4
Percentage Change over 12 months for Residential Property Price Index,2012 November,Mid-East - houses,%,-6
Percentage Change over 12 months for Residential Property Price Index,2012 November,Mid-West - houses,%,-9.6
Percentage Change over 12 months for Residential Property Price Index,2012 November,South-East - houses,%,-12.1
Percentage Change over 12 months for Residential Property Price Index,2012 November,South-West - houses,%,-10.8
Percentage Change over 12 months for Residential Property Price Index,2012 December,National - houses,%,-2.8
Percentage Change over 12 months for Residential Property Price Index,2012 December,Dublin - houses,%,5.2
Percentage Change over 12 months for Residential Property Price Index,2012 December,Dublin City - houses,%,2.1
Percentage Change over 12 months for Residential Property Price Index,2012 December,Dun Laoghaire-Rathdown - houses,%,12.5
Percentage Change over 12 months for Residential Property Price Index,2012 December,Fingal - houses,%,1
Percentage Change over 12 months for Residential Property Price Index,2012 December,South Dublin - houses,%,-1.5
Percentage Change over 12 months for Residential Property Price Index,2012 December,National excluding Dublin - houses,%,-9.5
Percentage Change over 12 months for Residential Property Price Index,2012 December,Border - houses,%,-15.7
Percentage Change over 12 months for Residential Property Price Index,2012 December,Midland - houses,%,-9.8
Percentage Change over 12 months for Residential Property Price Index,2012 December,West - houses,%,-16
Percentage Change over 12 months for Residential Property Price Index,2012 December,Mid-East - houses,%,-2.9
Percentage Change over 12 months for Residential Property Price Index,2012 December,Mid-West - houses,%,-11.8
Percentage Change over 12 months for Residential Property Price Index,2012 December,South-East - houses,%,-10.8
Percentage Change over 12 months for Residential Property Price Index,2012 December,South-West - houses,%,-8.6
Percentage Change over 12 months for Residential Property Price Index,2013 January,National - houses,%,-3.3
Percentage Change over 12 months for Residential Property Price Index,2013 January,Dublin - houses,%,5.8
Percentage Change over 12 months for Residential Property Price Index,2013 January,Dublin City - houses,%,5.1
Percentage Change over 12 months for Residential Property Price Index,2013 January,Dun Laoghaire-Rathdown - houses,%,14.1
Percentage Change over 12 months for Residential Property Price Index,2013 January,Fingal - houses,%,1.7
Percentage Change over 12 months for Residential Property Price Index,2013 January,South Dublin - houses,%,1.1
Percentage Change over 12 months for Residential Property Price Index,2013 January,National excluding Dublin - houses,%,-10.7
Percentage Change over 12 months for Residential Property Price Index,2013 January,Border - houses,%,-19.1
Percentage Change over 12 months for Residential Property Price Index,2013 January,Midland - houses,%,-11.4
Percentage Change over 12 months for Residential Property Price Index,2013 January,West - houses,%,-15.5
Percentage Change over 12 months for Residential Property Price Index,2013 January,Mid-East - houses,%,-1.8
Percentage Change over 12 months for Residential Property Price Index,2013 January,Mid-West - houses,%,-13.2
Percentage Change over 12 months for Residential Property Price Index,2013 January,South-East - houses,%,-11.3
Percentage Change over 12 months for Residential Property Price Index,2013 January,South-West - houses,%,-8.1
Percentage Change over 12 months for Residential Property Price Index,2013 February,National - houses,%,-2.2
Percentage Change over 12 months for Residential Property Price Index,2013 February,Dublin - houses,%,6.4
Percentage Change over 12 months for Residential Property Price Index,2013 February,Dublin City - houses,%,7.6
Percentage Change over 12 months for Residential Property Price Index,2013 February,Dun Laoghaire-Rathdown - houses,%,14.4
Percentage Change over 12 months for Residential Property Price Index,2013 February,Fingal - houses,%,3.7
Percentage Change over 12 months for Residential Property Price Index,2013 February,South Dublin - houses,%,4.5
Percentage Change over 12 months for Residential Property Price Index,2013 February,National excluding Dublin - houses,%,-9.3
Percentage Change over 12 months for Residential Property Price Index,2013 February,Border - houses,%,-17.7
Percentage Change over 12 months for Residential Property Price Index,2013 February,Midland - houses,%,-10.2
Percentage Change over 12 months for Residential Property Price Index,2013 February,West - houses,%,-15.2
Percentage Change over 12 months for Residential Property Price Index,2013 February,Mid-East - houses,%,1.4
Percentage Change over 12 months for Residential Property Price Index,2013 February,Mid-West - houses,%,-12.1
Percentage Change over 12 months for Residential Property Price Index,2013 February,South-East - houses,%,-10.8
Percentage Change over 12 months for Residential Property Price Index,2013 February,South-West - houses,%,-8.3
Percentage Change over 12 months for Residential Property Price Index,2013 March,National - houses,%,-4.4
Percentage Change over 12 months for Residential Property Price Index,2013 March,Dublin - houses,%,4.4
Percentage Change over 12 months for Residential Property Price Index,2013 March,Dublin City - houses,%,9.7
Percentage Change over 12 months for Residential Property Price Index,2013 March,Dun Laoghaire-Rathdown - houses,%,12.7
Percentage Change over 12 months for Residential Property Price Index,2013 March,Fingal - houses,%,0.7
Percentage Change over 12 months for Residential Property Price Index,2013 March,South Dublin - houses,%,5.2
Percentage Change over 12 months for Residential Property Price Index,2013 March,National excluding Dublin - houses,%,-11.6
Percentage Change over 12 months for Residential Property Price Index,2013 March,Border - houses,%,-22.8
Percentage Change over 12 months for Residential Property Price Index,2013 March,Midland - houses,%,-15.4
Percentage Change over 12 months for Residential Property Price Index,2013 March,West - houses,%,-13.9
Percentage Change over 12 months for Residential Property Price Index,2013 March,Mid-East - houses,%,0.5
Percentage Change over 12 months for Residential Property Price Index,2013 March,Mid-West - houses,%,-14.8
Percentage Change over 12 months for Residential Property Price Index,2013 March,South-East - houses,%,-11.2
Percentage Change over 12 months for Residential Property Price Index,2013 March,South-West - houses,%,-8.7
Percentage Change over 12 months for Residential Property Price Index,2013 April,National - houses,%,-2.3
Percentage Change over 12 months for Residential Property Price Index,2013 April,Dublin - houses,%,6.2
Percentage Change over 12 months for Residential Property Price Index,2013 April,Dublin City - houses,%,9.6
Percentage Change over 12 months for Residential Property Price Index,2013 April,Dun Laoghaire-Rathdown - houses,%,15.4
Percentage Change over 12 months for Residential Property Price Index,2013 April,Fingal - houses,%,3.5
Percentage Change over 12 months for Residential Property Price Index,2013 April,South Dublin - houses,%,6.5
Percentage Change over 12 months for Residential Property Price Index,2013 April,National excluding Dublin - houses,%,-9.4
Percentage Change over 12 months for Residential Property Price Index,2013 April,Border - houses,%,-21.2
Percentage Change over 12 months for Residential Property Price Index,2013 April,Midland - houses,%,-13.8
Percentage Change over 12 months for Residential Property Price Index,2013 April,West - houses,%,-10.1
Percentage Change over 12 months for Residential Property Price Index,2013 April,Mid-East - houses,%,1.9
Percentage Change over 12 months for Residential Property Price Index,2013 April,Mid-West - houses,%,-15.9
Percentage Change over 12 months for Residential Property Price Index,2013 April,South-East - houses,%,-11.1
Percentage Change over 12 months for Residential Property Price Index,2013 April,South-West - houses,%,-7.4
Percentage Change over 12 months for Residential Property Price Index,2013 May,National - houses,%,-2
Percentage Change over 12 months for Residential Property Price Index,2013 May,Dublin - houses,%,6.9
Percentage Change over 12 months for Residential Property Price Index,2013 May,Dublin City - houses,%,9.1
Percentage Change over 12 months for Residential Property Price Index,2013 May,Dun Laoghaire-Rathdown - houses,%,14.9
Percentage Change over 12 months for Residential Property Price Index,2013 May,Fingal - houses,%,5.4
Percentage Change over 12 months for Residential Property Price Index,2013 May,South Dublin - houses,%,9.8
Percentage Change over 12 months for Residential Property Price Index,2013 May,National excluding Dublin - houses,%,-9.7
Percentage Change over 12 months for Residential Property Price Index,2013 May,Border - houses,%,-21.7
Percentage Change over 12 months for Residential Property Price Index,2013 May,Midland - houses,%,-14.4
Percentage Change over 12 months for Residential Property Price Index,2013 May,West - houses,%,-8.2
Percentage Change over 12 months for Residential Property Price Index,2013 May,Mid-East - houses,%,1.8
Percentage Change over 12 months for Residential Property Price Index,2013 May,Mid-West - houses,%,-17.7
Percentage Change over 12 months for Residential Property Price Index,2013 May,South-East - houses,%,-11.2
Percentage Change over 12 months for Residential Property Price Index,2013 May,South-West - houses,%,-8.1
Percentage Change over 12 months for Residential Property Price Index,2013 June,National - houses,%,0.7
Percentage Change over 12 months for Residential Property Price Index,2013 June,Dublin - houses,%,10.4
Percentage Change over 12 months for Residential Property Price Index,2013 June,Dublin City - houses,%,11.2
Percentage Change over 12 months for Residential Property Price Index,2013 June,Dun Laoghaire-Rathdown - houses,%,18.2
Percentage Change over 12 months for Residential Property Price Index,2013 June,Fingal - houses,%,6
Percentage Change over 12 months for Residential Property Price Index,2013 June,South Dublin - houses,%,9.7
Percentage Change over 12 months for Residential Property Price Index,2013 June,National excluding Dublin - houses,%,-7.6
Percentage Change over 12 months for Residential Property Price Index,2013 June,Border - houses,%,-19.5
Percentage Change over 12 months for Residential Property Price Index,2013 June,Midland - houses,%,-9.2
Percentage Change over 12 months for Residential Property Price Index,2013 June,West - houses,%,-6.6
Percentage Change over 12 months for Residential Property Price Index,2013 June,Mid-East - houses,%,0.9
Percentage Change over 12 months for Residential Property Price Index,2013 June,Mid-West - houses,%,-18
Percentage Change over 12 months for Residential Property Price Index,2013 June,South-East - houses,%,-10.9
Percentage Change over 12 months for Residential Property Price Index,2013 June,South-West - houses,%,-5.9
Percentage Change over 12 months for Residential Property Price Index,2013 July,National - houses,%,2.2
Percentage Change over 12 months for Residential Property Price Index,2013 July,Dublin - houses,%,12.4
Percentage Change over 12 months for Residential Property Price Index,2013 July,Dublin City - houses,%,12.7
Percentage Change over 12 months for Residential Property Price Index,2013 July,Dun Laoghaire-Rathdown - houses,%,19.8
Percentage Change over 12 months for Residential Property Price Index,2013 July,Fingal - houses,%,6.4
Percentage Change over 12 months for Residential Property Price Index,2013 July,South Dublin - houses,%,9.9
Percentage Change over 12 months for Residential Property Price Index,2013 July,National excluding Dublin - houses,%,-6.8
Percentage Change over 12 months for Residential Property Price Index,2013 July,Border - houses,%,-16.1
Percentage Change over 12 months for Residential Property Price Index,2013 July,Midland - houses,%,-7.4
Percentage Change over 12 months for Residential Property Price Index,2013 July,West - houses,%,-7.1
Percentage Change over 12 months for Residential Property Price Index,2013 July,Mid-East - houses,%,-0.1
Percentage Change over 12 months for Residential Property Price Index,2013 July,Mid-West - houses,%,-17.1
Percentage Change over 12 months for Residential Property Price Index,2013 July,South-East - houses,%,-8.9
Percentage Change over 12 months for Residential Property Price Index,2013 July,South-West - houses,%,-5.5
Percentage Change over 12 months for Residential Property Price Index,2013 August,National - houses,%,3.5
Percentage Change over 12 months for Residential Property Price Index,2013 August,Dublin - houses,%,14
Percentage Change over 12 months for Residential Property Price Index,2013 August,Dublin City - houses,%,14.3
Percentage Change over 12 months for Residential Property Price Index,2013 August,Dun Laoghaire-Rathdown - houses,%,19.5
Percentage Change over 12 months for Residential Property Price Index,2013 August,Fingal - houses,%,7.5
Percentage Change over 12 months for Residential Property Price Index,2013 August,South Dublin - houses,%,12.6
Percentage Change over 12 months for Residential Property Price Index,2013 August,National excluding Dublin - houses,%,-6
Percentage Change over 12 months for Residential Property Price Index,2013 August,Border - houses,%,-12.7
Percentage Change over 12 months for Residential Property Price Index,2013 August,Midland - houses,%,-10.8
Percentage Change over 12 months for Residential Property Price Index,2013 August,West - houses,%,-5.2
Percentage Change over 12 months for Residential Property Price Index,2013 August,Mid-East - houses,%,-1
Percentage Change over 12 months for Residential Property Price Index,2013 August,Mid-West - houses,%,-14.8
Percentage Change over 12 months for Residential Property Price Index,2013 August,South-East - houses,%,-10
Percentage Change over 12 months for Residential Property Price Index,2013 August,South-West - houses,%,-3.9
Percentage Change over 12 months for Residential Property Price Index,2013 September,National - houses,%,4.6
Percentage Change over 12 months for Residential Property Price Index,2013 September,Dublin - houses,%,14.8
Percentage Change over 12 months for Residential Property Price Index,2013 September,Dublin City - houses,%,15.1
Percentage Change over 12 months for Residential Property Price Index,2013 September,Dun Laoghaire-Rathdown - houses,%,19.7
Percentage Change over 12 months for Residential Property Price Index,2013 September,Fingal - houses,%,8.7
Percentage Change over 12 months for Residential Property Price Index,2013 September,South Dublin - houses,%,14
Percentage Change over 12 months for Residential Property Price Index,2013 September,National excluding Dublin - houses,%,-4.8
Percentage Change over 12 months for Residential Property Price Index,2013 September,Border - houses,%,-8.2
Percentage Change over 12 months for Residential Property Price Index,2013 September,Midland - houses,%,-11.8
Percentage Change over 12 months for Residential Property Price Index,2013 September,West - houses,%,-6.1
Percentage Change over 12 months for Residential Property Price Index,2013 September,Mid-East - houses,%,0.2
Percentage Change over 12 months for Residential Property Price Index,2013 September,Mid-West - houses,%,-14
Percentage Change over 12 months for Residential Property Price Index,2013 September,South-East - houses,%,-7.9
Percentage Change over 12 months for Residential Property Price Index,2013 September,South-West - houses,%,-3.2
Percentage Change over 12 months for Residential Property Price Index,2013 October,National - houses,%,4.9
Percentage Change over 12 months for Residential Property Price Index,2013 October,Dublin - houses,%,14.5
Percentage Change over 12 months for Residential Property Price Index,2013 October,Dublin City - houses,%,15.8
Percentage Change over 12 months for Residential Property Price Index,2013 October,Dun Laoghaire-Rathdown - houses,%,18.7
Percentage Change over 12 months for Residential Property Price Index,2013 October,Fingal - houses,%,9.4
Percentage Change over 12 months for Residential Property Price Index,2013 October,South Dublin - houses,%,13.4
Percentage Change over 12 months for Residential Property Price Index,2013 October,National excluding Dublin - houses,%,-3.9
Percentage Change over 12 months for Residential Property Price Index,2013 October,Border - houses,%,-8.5
Percentage Change over 12 months for Residential Property Price Index,2013 October,Midland - houses,%,-10.4
Percentage Change over 12 months for Residential Property Price Index,2013 October,West - houses,%,-4.5
Percentage Change over 12 months for Residential Property Price Index,2013 October,Mid-East - houses,%,0.2
Percentage Change over 12 months for Residential Property Price Index,2013 October,Mid-West - houses,%,-13
Percentage Change over 12 months for Residential Property Price Index,2013 October,South-East - houses,%,-6
Percentage Change over 12 months for Residential Property Price Index,2013 October,South-West - houses,%,-2
Percentage Change over 12 months for Residential Property Price Index,2013 November,National - houses,%,5.7
Percentage Change over 12 months for Residential Property Price Index,2013 November,Dublin - houses,%,14.6
Percentage Change over 12 months for Residential Property Price Index,2013 November,Dublin City - houses,%,16.3
Percentage Change over 12 months for Residential Property Price Index,2013 November,Dun Laoghaire-Rathdown - houses,%,19.6
Percentage Change over 12 months for Residential Property Price Index,2013 November,Fingal - houses,%,7.8
Percentage Change over 12 months for Residential Property Price Index,2013 November,South Dublin - houses,%,13.8
Percentage Change over 12 months for Residential Property Price Index,2013 November,National excluding Dublin - houses,%,-2.7
Percentage Change over 12 months for Residential Property Price Index,2013 November,Border - houses,%,-5.7
Percentage Change over 12 months for Residential Property Price Index,2013 November,Midland - houses,%,-6
Percentage Change over 12 months for Residential Property Price Index,2013 November,West - houses,%,-2.4
Percentage Change over 12 months for Residential Property Price Index,2013 November,Mid-East - houses,%,-0.1
Percentage Change over 12 months for Residential Property Price Index,2013 November,Mid-West - houses,%,-13.2
Percentage Change over 12 months for Residential Property Price Index,2013 November,South-East - houses,%,-3.9
Percentage Change over 12 months for Residential Property Price Index,2013 November,South-West - houses,%,-1
Percentage Change over 12 months for Residential Property Price Index,2013 December,National - houses,%,6.4
Percentage Change over 12 months for Residential Property Price Index,2013 December,Dublin - houses,%,14.5
Percentage Change over 12 months for Residential Property Price Index,2013 December,Dublin City - houses,%,16.4
Percentage Change over 12 months for Residential Property Price Index,2013 December,Dun Laoghaire-Rathdown - houses,%,19.2
Percentage Change over 12 months for Residential Property Price Index,2013 December,Fingal - houses,%,8.6
Percentage Change over 12 months for Residential Property Price Index,2013 December,South Dublin - houses,%,13.4
Percentage Change over 12 months for Residential Property Price Index,2013 December,National excluding Dublin - houses,%,-1.4
Percentage Change over 12 months for Residential Property Price Index,2013 December,Border - houses,%,-5.3
Percentage Change over 12 months for Residential Property Price Index,2013 December,Midland - houses,%,-3.5
Percentage Change over 12 months for Residential Property Price Index,2013 December,West - houses,%,-1.8
Percentage Change over 12 months for Residential Property Price Index,2013 December,Mid-East - houses,%,0.4
Percentage Change over 12 months for Residential Property Price Index,2013 December,Mid-West - houses,%,-10
Percentage Change over 12 months for Residential Property Price Index,2013 December,South-East - houses,%,-3.2
Percentage Change over 12 months for Residential Property Price Index,2013 December,South-West - houses,%,0.8
Percentage Change over 12 months for Residential Property Price Index,2014 January,National - houses,%,8.5
Percentage Change over 12 months for Residential Property Price Index,2014 January,Dublin - houses,%,15.7
Percentage Change over 12 months for Residential Property Price Index,2014 January,Dublin City - houses,%,17.8
Percentage Change over 12 months for Residential Property Price Index,2014 January,Dun Laoghaire-Rathdown - houses,%,19.5
Percentage Change over 12 months for Residential Property Price Index,2014 January,Fingal - houses,%,7.9
Percentage Change over 12 months for Residential Property Price Index,2014 January,South Dublin - houses,%,15.2
Percentage Change over 12 months for Residential Property Price Index,2014 January,National excluding Dublin - houses,%,1.5
Percentage Change over 12 months for Residential Property Price Index,2014 January,Border - houses,%,-2.8
Percentage Change over 12 months for Residential Property Price Index,2014 January,Midland - houses,%,-2.3
Percentage Change over 12 months for Residential Property Price Index,2014 January,West - houses,%,2.8
Percentage Change over 12 months for Residential Property Price Index,2014 January,Mid-East - houses,%,3.2
Percentage Change over 12 months for Residential Property Price Index,2014 January,Mid-West - houses,%,-6.7
Percentage Change over 12 months for Residential Property Price Index,2014 January,South-East - houses,%,-1.1
Percentage Change over 12 months for Residential Property Price Index,2014 January,South-West - houses,%,1
Percentage Change over 12 months for Residential Property Price Index,2014 February,National - houses,%,10.3
Percentage Change over 12 months for Residential Property Price Index,2014 February,Dublin - houses,%,18.7
Percentage Change over 12 months for Residential Property Price Index,2014 February,Dublin City - houses,%,21.1
Percentage Change over 12 months for Residential Property Price Index,2014 February,Dun Laoghaire-Rathdown - houses,%,21.5
Percentage Change over 12 months for Residential Property Price Index,2014 February,Fingal - houses,%,7.7
Percentage Change over 12 months for Residential Property Price Index,2014 February,South Dublin - houses,%,15.3
Percentage Change over 12 months for Residential Property Price Index,2014 February,National excluding Dublin - houses,%,2.2
Percentage Change over 12 months for Residential Property Price Index,2014 February,Border - houses,%,-1
Percentage Change over 12 months for Residential Property Price Index,2014 February,Midland - houses,%,-1.5
Percentage Change over 12 months for Residential Property Price Index,2014 February,West - houses,%,2.6
Percentage Change over 12 months for Residential Property Price Index,2014 February,Mid-East - houses,%,3.4
Percentage Change over 12 months for Residential Property Price Index,2014 February,Mid-West - houses,%,-6.2
Percentage Change over 12 months for Residential Property Price Index,2014 February,South-East - houses,%,3
Percentage Change over 12 months for Residential Property Price Index,2014 February,South-West - houses,%,2.6
Percentage Change over 12 months for Residential Property Price Index,2014 March,National - houses,%,12.5
Percentage Change over 12 months for Residential Property Price Index,2014 March,Dublin - houses,%,21.3
Percentage Change over 12 months for Residential Property Price Index,2014 March,Dublin City - houses,%,21.1
Percentage Change over 12 months for Residential Property Price Index,2014 March,Dun Laoghaire-Rathdown - houses,%,22.9
Percentage Change over 12 months for Residential Property Price Index,2014 March,Fingal - houses,%,12.3
Percentage Change over 12 months for Residential Property Price Index,2014 March,South Dublin - houses,%,18.5
Percentage Change over 12 months for Residential Property Price Index,2014 March,National excluding Dublin - houses,%,3.9
Percentage Change over 12 months for Residential Property Price Index,2014 March,Border - houses,%,-0.2
Percentage Change over 12 months for Residential Property Price Index,2014 March,Midland - houses,%,2.8
Percentage Change over 12 months for Residential Property Price Index,2014 March,West - houses,%,-0.7
Percentage Change over 12 months for Residential Property Price Index,2014 March,Mid-East - houses,%,6
Percentage Change over 12 months for Residential Property Price Index,2014 March,Mid-West - houses,%,-3.4
Percentage Change over 12 months for Residential Property Price Index,2014 March,South-East - houses,%,5.2
Percentage Change over 12 months for Residential Property Price Index,2014 March,South-West - houses,%,4.8
Percentage Change over 12 months for Residential Property Price Index,2014 April,National - houses,%,14.2
Percentage Change over 12 months for Residential Property Price Index,2014 April,Dublin - houses,%,23.4
Percentage Change over 12 months for Residential Property Price Index,2014 April,Dublin City - houses,%,25.1
Percentage Change over 12 months for Residential Property Price Index,2014 April,Dun Laoghaire-Rathdown - houses,%,22.8
Percentage Change over 12 months for Residential Property Price Index,2014 April,Fingal - houses,%,11.9
Percentage Change over 12 months for Residential Property Price Index,2014 April,South Dublin - houses,%,22.2
Percentage Change over 12 months for Residential Property Price Index,2014 April,National excluding Dublin - houses,%,5.1
Percentage Change over 12 months for Residential Property Price Index,2014 April,Border - houses,%,0.9
Percentage Change over 12 months for Residential Property Price Index,2014 April,Midland - houses,%,3
Percentage Change over 12 months for Residential Property Price Index,2014 April,West - houses,%,-0.4
Percentage Change over 12 months for Residential Property Price Index,2014 April,Mid-East - houses,%,8
Percentage Change over 12 months for Residential Property Price Index,2014 April,Mid-West - houses,%,-0.3
Percentage Change over 12 months for Residential Property Price Index,2014 April,South-East - houses,%,6.2
Percentage Change over 12 months for Residential Property Price Index,2014 April,South-West - houses,%,6.3
Percentage Change over 12 months for Residential Property Price Index,2014 May,National - houses,%,17.2
Percentage Change over 12 months for Residential Property Price Index,2014 May,Dublin - houses,%,26.5
Percentage Change over 12 months for Residential Property Price Index,2014 May,Dublin City - houses,%,29.3
Percentage Change over 12 months for Residential Property Price Index,2014 May,Dun Laoghaire-Rathdown - houses,%,23.6
Percentage Change over 12 months for Residential Property Price Index,2014 May,Fingal - houses,%,16.1
Percentage Change over 12 months for Residential Property Price Index,2014 May,South Dublin - houses,%,22.8
Percentage Change over 12 months for Residential Property Price Index,2014 May,National excluding Dublin - houses,%,7.9
Percentage Change over 12 months for Residential Property Price Index,2014 May,Border - houses,%,3.9
Percentage Change over 12 months for Residential Property Price Index,2014 May,Midland - houses,%,4.2
