Statistic Label,MONTH,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2009 January,South Dublin - houses,Base,
Residential Property Price Index,2009 January,National excluding Dublin - houses,Base,155.7
Residential Property Price Index,2009 January,Border - houses,Base,
Residential Property Price Index,2009 January,Midland - houses,Base,
Residential Property Price Index,2009 January,West - houses,Base,
Residential Property Price Index,2009 January,Mid-East - houses,Base,
Residential Property Price Index,2009 January,Mid-West - houses,Base,
Residential Property Price Index,2009 January,South-East - houses,Base,
Residential Property Price Index,2009 January,South-West - houses,Base,
Residential Property Price Index,2009 February,National - houses,Base,131.2
Residential Property Price Index,2009 February,Dublin - houses,Base,117.7
Residential Property Price Index,2009 February,Dublin City - houses,Base,
Residential Property Price Index,2009 February,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 February,Fingal - houses,Base,
Residential Property Price Index,2009 February,South Dublin - houses,Base,
Residential Property Price Index,2009 February,National excluding Dublin - houses,Base,152.4
Residential Property Price Index,2009 February,Border - houses,Base,
Residential Property Price Index,2009 February,Midland - houses,Base,
Residential Property Price Index,2009 February,West - houses,Base,
Residential Property Price Index,2009 February,Mid-East - houses,Base,
Residential Property Price Index,2009 February,Mid-West - houses,Base,
Residential Property Price Index,2009 February,South-East - houses,Base,
Residential Property Price Index,2009 February,South-West - houses,Base,
Residential Property Price Index,2009 March,National - houses,Base,127.7
Residential Property Price Index,2009 March,Dublin - houses,Base,113
Residential Property Price Index,2009 March,Dublin City - houses,Base,
Residential Property Price Index,2009 March,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 March,Fingal - houses,Base,
Residential Property Price Index,2009 March,South Dublin - houses,Base,
Residential Property Price Index,2009 March,National excluding Dublin - houses,Base,149
Residential Property Price Index,2009 March,Border - houses,Base,
Residential Property Price Index,2009 March,Midland - houses,Base,
Residential Property Price Index,2009 March,West - houses,Base,
Residential Property Price Index,2009 March,Mid-East - houses,Base,
Residential Property Price Index,2009 March,Mid-West - houses,Base,
Residential Property Price Index,2009 March,South-East - houses,Base,
Residential Property Price Index,2009 March,South-West - houses,Base,
Residential Property Price Index,2009 April,National - houses,Base,125.1
Residential Property Price Index,2009 April,Dublin - houses,Base,108.2
Residential Property Price Index,2009 April,Dublin City - houses,Base,
Residential Property Price Index,2009 April,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 April,Fingal - houses,Base,
Residential Property Price Index,2009 April,South Dublin - houses,Base,
Residential Property Price Index,2009 April,National excluding Dublin - houses,Base,147
Residential Property Price Index,2009 April,Border - houses,Base,
Residential Property Price Index,2009 April,Midland - houses,Base,
Residential Property Price Index,2009 April,West - houses,Base,
Residential Property Price Index,2009 April,Mid-East - houses,Base,
Residential Property Price Index,2009 April,Mid-West - houses,Base,
Residential Property Price Index,2009 April,South-East - houses,Base,
Residential Property Price Index,2009 April,South-West - houses,Base,
Residential Property Price Index,2009 May,National - houses,Base,122.1
Residential Property Price Index,2009 May,Dublin - houses,Base,105
Residential Property Price Index,2009 May,Dublin City - houses,Base,
Residential Property Price Index,2009 May,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 May,Fingal - houses,Base,
Residential Property Price Index,2009 May,South Dublin - houses,Base,
Residential Property Price Index,2009 May,National excluding Dublin - houses,Base,143.8
Residential Property Price Index,2009 May,Border - houses,Base,
Residential Property Price Index,2009 May,Midland - houses,Base,
Residential Property Price Index,2009 May,West - houses,Base,
Residential Property Price Index,2009 May,Mid-East - houses,Base,
Residential Property Price Index,2009 May,Mid-West - houses,Base,
Residential Property Price Index,2009 May,South-East - houses,Base,
Residential Property Price Index,2009 May,South-West - houses,Base,
Residential Property Price Index,2009 June,National - houses,Base,120.1
Residential Property Price Index,2009 June,Dublin - houses,Base,103.8
Residential Property Price Index,2009 June,Dublin City - houses,Base,
Residential Property Price Index,2009 June,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 June,Fingal - houses,Base,
Residential Property Price Index,2009 June,South Dublin - houses,Base,
Residential Property Price Index,2009 June,National excluding Dublin - houses,Base,141.3
Residential Property Price Index,2009 June,Border - houses,Base,
Residential Property Price Index,2009 June,Midland - houses,Base,
Residential Property Price Index,2009 June,West - houses,Base,
Residential Property Price Index,2009 June,Mid-East - houses,Base,
Residential Property Price Index,2009 June,Mid-West - houses,Base,
Residential Property Price Index,2009 June,South-East - houses,Base,
Residential Property Price Index,2009 June,South-West - houses,Base,
Residential Property Price Index,2009 July,National - houses,Base,118.4
Residential Property Price Index,2009 July,Dublin - houses,Base,103.3
Residential Property Price Index,2009 July,Dublin City - houses,Base,
Residential Property Price Index,2009 July,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 July,Fingal - houses,Base,
Residential Property Price Index,2009 July,South Dublin - houses,Base,
Residential Property Price Index,2009 July,National excluding Dublin - houses,Base,138.8
Residential Property Price Index,2009 July,Border - houses,Base,
Residential Property Price Index,2009 July,Midland - houses,Base,
Residential Property Price Index,2009 July,West - houses,Base,
Residential Property Price Index,2009 July,Mid-East - houses,Base,
Residential Property Price Index,2009 July,Mid-West - houses,Base,
Residential Property Price Index,2009 July,South-East - houses,Base,
Residential Property Price Index,2009 July,South-West - houses,Base,
Residential Property Price Index,2009 August,National - houses,Base,117.2
Residential Property Price Index,2009 August,Dublin - houses,Base,104.7
Residential Property Price Index,2009 August,Dublin City - houses,Base,
Residential Property Price Index,2009 August,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 August,Fingal - houses,Base,
Residential Property Price Index,2009 August,South Dublin - houses,Base,
Residential Property Price Index,2009 August,National excluding Dublin - houses,Base,136.3
Residential Property Price Index,2009 August,Border - houses,Base,
Residential Property Price Index,2009 August,Midland - houses,Base,
Residential Property Price Index,2009 August,West - houses,Base,
Residential Property Price Index,2009 August,Mid-East - houses,Base,
Residential Property Price Index,2009 August,Mid-West - houses,Base,
Residential Property Price Index,2009 August,South-East - houses,Base,
Residential Property Price Index,2009 August,South-West - houses,Base,
Residential Property Price Index,2009 September,National - houses,Base,117.8
Residential Property Price Index,2009 September,Dublin - houses,Base,105.7
Residential Property Price Index,2009 September,Dublin City - houses,Base,
Residential Property Price Index,2009 September,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 September,Fingal - houses,Base,
Residential Property Price Index,2009 September,South Dublin - houses,Base,
Residential Property Price Index,2009 September,National excluding Dublin - houses,Base,136.8
Residential Property Price Index,2009 September,Border - houses,Base,
Residential Property Price Index,2009 September,Midland - houses,Base,
Residential Property Price Index,2009 September,West - houses,Base,
Residential Property Price Index,2009 September,Mid-East - houses,Base,
Residential Property Price Index,2009 September,Mid-West - houses,Base,
Residential Property Price Index,2009 September,South-East - houses,Base,
Residential Property Price Index,2009 September,South-West - houses,Base,
Residential Property Price Index,2009 October,National - houses,Base,116.5
Residential Property Price Index,2009 October,Dublin - houses,Base,103.2
Residential Property Price Index,2009 October,Dublin City - houses,Base,
Residential Property Price Index,2009 October,Dun Laoghaire-Rathdown - houses,Base,
Residential Property Price Index,2009 October,Fingal - houses,Base,
Residential Property Price Index,2009 October,South Dublin - houses,Base,
Residential Property Price Index,2009 October,National excluding Dublin - houses,Base,135.9
Residential Property Price Index,2009 October,Border - houses,Base,
Residential Property Price Index,2009 October,Midland - houses,Base,
Residential Property Price Index,2009 October,West - houses,Base,
Residential Property Price Index,2009 October,Mid-East - houses,Base,
Residential Property Price Index,2009 October,Mid-West - houses,Base,
Residential Property Price Index,2009 October,South-East - houses,Base,
Residential Property Price Index,2009 October,South-West - houses,Base,
Residential Property Price Index,2009 November,National - houses,Base,116
Residential Property Price Index,2009 November,Dublin - houses,Base,100.3
